producto_buscado_arg,precio_argentina,precio_argentina_mep,precio_brasil,precio_chile,precio_colombia,precio_mexico,precio_peru,precio_uruguay,precio_promedio_latam
blusa mujer,14.9039839495557,12.8081341504266,7.5,17.11188377785015,17.0098478066249,11.5899825276645,19.893899204244,15.3886280646844,14.749040230177991
camisa mujer,22.9177414732015,19.6949693590021,12.3076923076923,22.2391461915817,18.6619772349405,22.1898660454281,26.2599469496021,15.3886280646844,19.507876132321517
bombacha,8.362854686156496,7.1868411200220645,10.7692307692308,7.34266836139794,24.775035170738,11.0075713453698,11.9363395225464,11.7370892018779,12.92798906186014
corpiño,13.4135855546002,11.5273207353839,12.1153846153846,10.704118827274,17.5119580509017,17.9965055329062,15.6498673740053,15.3886280646844,14.894410410859367
calzoncillo hombre,10.3571223846374,8.900667993458,10.9615384615385,12.9625933590344,14.4836935669523,17.3558532323821,11.1405835543767,15.3886280646844,13.715481706494733
camisa hombre,38.6357122384637,33.2026246822598,17.1153846153846,26.2508272319506,25.5531397876966,23.4711706464764,30.5039787798409,25.8215962441315,24.786016217580098
campera hombre,70.1049011177988,60.2465073203413,33.846153846153904,40.6756515436411,38.3680777593043,34.3622597553873,55.4376657824934,49.5565988523735,42.04106792322558
campera mujer,63.6308397821725,54.6828508936137,27.6923076923077,35.590407260733,33.0477043100141,31.6249271986022,45.0928381962865,39.1236306729265,35.36196922181167
campera para niños,34.2791630839782,29.4587085459812,27.3076923076923,28.9704507494984,25.5531397876966,32.06173558532325,21.2201591511936,23.2133541992697,26.387755296778973
campera para bebés,18.3433648609917,15.7638574159097,25.9615384615385,25.2003739613643,26.82286737434455,27.6062900407688,25.1989389920424,20.3182055294731,25.184702393255275
joggins mujer,26.3674405273717,22.6595597942817,14.4230769230769,23.9377291301196,32.4215372809822,26.150262085032,28.9124668435013,62.36306729264475,31.368023259226124
buzo mujer,34.3938091143594,29.5572326548306,7.5,22.5968255302163,22.4836935669523,30.3436225975539,26.2599469496021,32.811684924361,23.6659622614476
joggins hombre,36.3422184006879,31.2316498847268,13.4615384615385,25.208777587529,32.8942319989769,25.3931275480489,23.6074270557029,62.3369848721961,30.483681253998714
buzo hombre,39.0255087417598,33.5376066523478,16.1538461538462,31.5030935848819,20.4373960864561,30.3436225975539,26.2599469496021,32.811684924361,26.251598382783534
buzo niño,31.6136428776154,27.1680230152318,12.1153846153846,13.6453879849155,22.6880675278169,29.0040768782761,34.2175066312997,32.811684924361,24.080351427008967
buzo bebe,15.9357982229865,13.6948511300715,14.2307692307692,13.6453879849155,19.1584601611459,24.5195107746069,26.2599469496021,20.6051121544079,19.73653120924125
medias,9.14072800229292,7.85532719856549,9.42307692307692,8.31013582360789,18.8435861363346,10.7746068724519,9.0185676392573,11.2154407929056,11.264235697939036
soquetes,4.9286328460877,4.23555143943723,7.5,6.29221509081169,7.24338150658652,11.5899825276645,9.0185676392573,6.25978090766823,7.983987945331373
pantalón de jean hombre,50.1094869590141,43.0629174959113,22.40384615384615,30.4526403142956,33.0569126486763,37.0413511939429,36.604774535809,39.1236306729265,33.11385925324941
pantalón de jean mujer,42.2281456004586,36.289877633056804,22.6923076923077,26.2508272319506,28.895766722087252,32.0326150262085,51.7241379310345,20.6051121544079,30.366794459666075
pantalón de jean niño,16.0504442533677,13.793375238921,16.9230769230769,19.4228809731399,20.4373960864561,22.7722772277228,13.5278514588859,12.7803860198226,17.6439781148507
pollera mujer,18.3422184006879,15.7628721748212,15,18.303097786695,25.1986187492007,19.1030867792662,17.2413793103448,20.6051121544079,19.2418824633191
remera hombre,19.4256233877902,16.6939250034483,10.3846153846154,14.2420454426085,11.5078654559407,15.6668608037274,15.6498673740053,17.9968701095462,14.241354095073916
remera mujer,17.1969045571797,14.7786163274153,8.173076923076925,12.5949347143292,11.2546361427292,16.8316831683168,15.6498673740053,17.9968701095462,13.750178072000605
remera bebés,13.7575236457438,11.8228930619323,9.42307692307692,11.7062512474133,11.026985548024,14.502038439138,18.169761273209552,13.0412102243088,12.978220609195095
remera niños,14.3754657494984,12.3539380086307,9.03846153846154,10.4940281731567,30.9476915206548,18.5789167152009,9.54907161803714,14.5800730307773,15.531373766048063
bermuda hombre,28.6615075952995,24.6310272123589,12.8846153846154,23.5196487284263,21.9705844737179,24.4030285381479,24.1379310344828,25.8215962441315,22.1229007339203
traje de baño hombre,30.3800515907137,26.1079036040119,8.26923076923077,23.6425517610849,26.3184550454022,25.6260920209668,29.1777188328913,52.56911841418885,27.600527807294135
traje hombre,74.8065348237317,64.2869810242566,36.1538461538462,39.6073405674549,39.9166133776698,43.6808386721025,19.23076923076925,65.2060511215441,40.63257652056446
vestido mujer,26.2539409572944,22.5620209265207,21.1538461538462,31.5030935848819,27.2364752525898,16.0745486313337,32.8912466843501,36.2545644235785,27.5189624550967
mono mujer,25.738033820579,22.1186624366983,22.8846153846154,26.4388583673855,24.4118173679499,27.3150844496214,30.5039787798409,33.3333333333333,27.481281280457733
vestido niñas,17.1969045571797,14.7786163274153,21.9230769230769,24.50339821633035,27.5894615679754,26.0920209668026,29.1777188328913,35.2112676056338,27.41615735211839
vestido bebés,16.0504442533677,13.793375238921,17.1153846153846,24.1015998403311,25.4508249136718,27.0821199767036,21.2201591511936,52.0213875847679,27.8319126803421
